"record_id","species","decimalLongitude","decimalLatitude","year","basisOfRecord","coordinateUncertaintyInMeters","eventDate","issue"
1,"Crotalus triseriatus",-110.003304,31.082701,1977,"PRESERVED_SPECIMEN",,"1977-09-21T00:00:00","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
3,"Crotalus triseriatus",-109.316955,31.910274,1949,"PRESERVED_SPECIMEN",915,"1949-06-17T00:00:00","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
4,"Crotalus triseriatus",-109.225,30.591667,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
5,"Crotalus triseriatus",-108.358333,30.091667,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE"
6,"Crotalus triseriatus",-108.341667,29.975,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE"
9,"Crotalus triseriatus",-108.308333,30.258333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
10,"Crotalus triseriatus",-108.2336994,29.73349049,1921,"PRESERVED_SPECIMEN",,"1921-12-25T00:00:00","COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
11,"Crotalus triseriatus",-108.208333,28.708333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
12,"Crotalus triseriatus",-107.641667,30.308333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
13,"Crotalus triseriatus",-107.5328362,27.02554169,1911,"PRESERVED_SPECIMEN",710,"1911-12-12T00:00:00","COORDINATE_REPROJECTED;TYPE_STATUS_INVALID;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION"
17,"Crotalus triseriatus",-107.491667,28.558333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
20,"Crotalus triseriatus",-107.308333,31.308333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE"
21,"Crotalus triseriatus",-107.225,27.308333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION"
22,"Crotalus triseriatus",-106.975,26.108333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
23,"Crotalus triseriatus",-106.425,31.741667,1901,"PRESERVED_SPECIMEN",,"1901-11-23T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION"
24,"Crotalus triseriatus",-106.075,28.641667,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE"
27,"Crotalus triseriatus",-104.775,22.508333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
28,"Crotalus triseriatus",-104.712737,20.1727845,1892,"PRESERVED_SPECIMEN",1240,"1892-09-05T00:00:00","COORDINATE_REPROJECTED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION"
29,"Crotalus triseriatus",-104.375,21.058333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION"
